iter	Passed	Remaining
0	4	467
1	7	374
2	11	384
3	13	329
4	15	301
5	17	279
6	19	257
7	21	243
8	22	230
9	24	218
10	25	207
11	26	197
12	28	188
13	29	181
14	30	174
15	31	166
16	32	160
17	33	153
18	34	148
19	35	143
20	36	138
21	37	134
22	38	130
23	39	126
24	40	122
25	41	119
26	42	116
27	43	113
28	45	110
29	46	107
30	47	105
31	48	102
32	49	99
33	50	97
34	51	95
35	52	93
36	53	90
37	54	88
38	55	86
39	56	84
40	57	82
41	58	80
42	59	78
43	60	76
44	61	74
45	62	72
46	63	71
47	64	69
48	65	67
49	66	66
50	67	64
51	68	63
52	69	61
53	70	59
54	71	58
55	71	56
56	73	55
57	73	53
58	74	52
59	75	50
60	76	49
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
